#Column Seq	(I3)		[1,172] Planet running identification number	[meta.id;meta.main]
#Column Name	(A)		Star system name	[meta.id]
#Column Pl	(A)		[bcde] Planetary component	[meta.code.multip]
#Column n_Pl	(A)		Note about orbital elements of planet (1)	[meta.note]
#Column Per	(F13.8)		Period	[time.period]
#Column e_Per	(F13.8)		? Uncertainty in Per	[stat.error]
#Column n_Per	(A)		Note about the Period (1)	[meta.note]
#Column K	(F7.2)		? Stellar reflex motion semi-amplitude	[phys.size;src.orbital]
#Column e_K	(F5.2)		? Uncertainty in K	[stat.error]
#Column n_K	(A)		Note about K (1)	[meta.note]
#Column e	(F7.4)		Eccentricity of exoplanet	[src.orbital.eccentricity]
#Column e_e	(F7.4)		? Uncertainty in e	[stat.error]
#Column n_e	(A2)		Note about e (1)	[meta.note]
#Column omega	(F6.2)		? Planet's longitude of periastron	[src.orbital.periastron]
#Column e_omega	(F6.2)		? Uncertainty in omega	[stat.error]
#Column n_omega	(A)		Note about omega (1)	[meta.note]
#Column Tp-2440000	(F11.5)		? Julian Date of periastron passage (JD-2440000)	[src.orbital.periastron]
#Column n_Tp-2440000	(A)		Note about Tp-2440000 (1)	[meta.note]
#Column e_Tp-2440000	(F9.5)		? Uncertainty in Tp-2440000	[stat.error]
#Column Tt-2440000	(F11.5)		? Julian Date of transit mid-time (JD-2440000) (3)	[time.epoch]
#Column n_Tt-2440000	(A)		Note about Tt-2440000 (1)	[meta.note]
#Column e_Tt-2440000	(F9.5)		? Uncertainty in Tt-2440000	[stat.error]
#Column Trend	(F6.2)		? Magnitude of a linear trend (4)	[stat.fit.param]
#Column e_Trend	(F5.2)		? Uncertainty in Trend	[stat.error]
#Column Msini	(F7.4)		? Minimum mass in Jupiter masses (see text)	[phys.mass]
#Column e_Msini	(F7.4)		? Uncertainty in Msini	[stat.error]
#Column n_Msini	(A)		Note about Msini (1)	[meta.note]
#Column Rad	(F7.4)		Planet's orbital radius (see text)	[phys.angSize.smajAxis;src.orbital]
#Column e_Rad	(F7.4)		? Uncertainty in Rad	[stat.error]
#Column n_Rad	(A)		Note about Rad (1)	[meta.note]
#Column rms	(F6.2)		? Fit quality as the rms. of the residuals	[stat.fit.residual;stat.fit.param;meta.modelled]
#Column chi2	(F5.2)		? Square root of the reduced {chi}^2^	[stat.fit.chi2]
#Column l_Nobs	(A)		Limit flag on Nobs	[meta.code.error]
#Column Nobs	(I3)		? Number of observations [NULL integer written as an empty string]	[meta.number]
#Column Ref	(A)		Orbital elements reference(s), in refs.dat file (5)	[meta.ref]
#Column RV	(A)		{\bf C} indicates a RV curve	[meta.ref.url]
Seq,Name,Pl,n_Pl,Per,e_Per,n_Per,K,e_K,n_K,e,e_e,n_e,omega,e_omega,n_omega,Tp-2440000,n_Tp-2440000,e_Tp-2440000,Tt-2440000,n_Tt-2440000,e_Tt-2440000,Trend,e_Trend,Msini,e_Msini,n_Msini,Rad,e_Rad,n_Rad,rms,chi2,l_Nobs,Nobs,Ref,RV
105,HD 117618,b,,25.827,0.019,,12.8,2.2,,0.42,0.17,,254.0,19.0,,10832.2,,1.8,10821.8,,2.4,,,0.178,0.021,,0.176,0.01,,5.5,0.79,,57,Bu6,C
106,HD 118203,b,,6.1335,6.0E-4,,217.0,3.0,,0.309,0.014,,155.7,2.4,,13394.23,,0.03,,,,49.7,5.7,2.14,0.31,,0.0703,0.0041,,18.0,,,43,Da6,
107,tau Boo,b,,3.312463,1.4E-5,,461.1,7.6,,0.023,0.015,b,188.0,,b,6957.81,,0.54,6956.916,,0.028,-18.7,1.1,4.13,0.34,,0.0481,0.0028,,62.0,1.7,,98,Bu6,C
108,HD 121504,b,,63.33,0.03,,55.8,0.9,,0.03,0.01,,265.0,12.0,,11450.0,,2.0,,,,,,1.22,0.17,,0.329,0.019,,12.0,,,100,My4,
109,HD 128311,b,,458.6,6.8,,66.8,8.7,,0.25,0.1,,111.0,36.0,,10211.0,,76.0,,,,,,2.19,0.2,,1.1,0.065,,18.0,1.9,,,Vo5,
110,HD 128311,c,,928.0,18.0,,76.2,4.6,,0.17,0.09,,200.0,150.0,,10010.0,,400.0,,,,,,3.22,0.49,,1.76,0.11,,18.0,1.9,,,Vo5,
111,HD 130322,b,,10.70875,9.4E-4,,109.6,4.2,,0.025,0.032,b,149.0,,b,212.9,,2.1,211.2,,1.1,,,1.089,0.098,,0.091,0.0053,,11.0,2.4,,12,Bu6 , U0,C
112,23 Lib,b,,258.31,0.16,,50.03,0.54,,0.243,0.011,,358.3,3.7,,10331.7,,2.2,10119.4,,1.8,2.91,0.22,1.62,0.13,,0.82,0.047,,4.0,0.89,,90,Bu6,C
113,HD 136118,b,,1193.1,9.7,,212.8,5.8,,0.351,0.025,,311.4,3.1,,10598.0,,13.0,9734.0,,24.0,,,12.0,1.0,,2.37,0.14,,22.0,1.2,,37,Bu6,C
114,GJ 581,b,,5.366,0.001,,13.2,0.4,,0.0,,c,0.0,,c,11004.3,,0.06,,,,,,0.0521,,,0.0406,0.0023,,2.5,,,20,Bf5,
115,iota Dra,b,,511.098,0.089,,307.6,2.3,,0.7124,0.0039,,91.58,0.81,,12014.59,,0.3,12014.32,,0.19,-18.1,1.1,8.82,0.72,,1.275,0.074,,14.0,1.9,,119,Bu6,C
116,HD 137510,b,,804.9,5.0,,418.0,31.0,,0.359,0.028,,31.0,3.8,,11762.0,,27.0,11851.3,,9.4,,,22.7,2.4,,1.91,0.11,,17.0,1.8,,10,Bu6 , Ed4,C
117,HD 330075,b,,3.38773,8.0E-5,,107.0,0.7,,0.0,,c,0.0,,c,12878.815,,0.003,,,,,,0.624,0.088,,0.0392,0.0023,,2.0,,,21,Pp4,
118,HD 141937,b,,653.2,1.2,,234.5,6.4,,0.41,0.01,,187.72,0.8,,11847.4,,2.0,,,,,,9.7,1.4,,1.517,0.088,,8.7,1.6,,81,U2,
119,HD 142415,b,,386.3,1.6,,51.3,2.3,,0.5,,c,255.0,4.0,,11519.0,,4.0,,,,,,1.69,0.25,,1.069,0.062,,11.0,,,137,My4,
120,rho CrB,b,,39.8449,0.0063,,64.9,2.4,,0.057,0.028,b,303.0,,b,10563.2,,4.1,10539.58,,0.35,,,1.093,0.098,,0.229,0.013,,6.9,0.97,,26,Bu6 , Ny7,C
121,HD 142022,b,,1928.0,46.0,,92.0,65.0,,0.53,0.2,,170.0,9.0,,10941.0,,75.0,,,,,,4.5,3.4,,2.93,0.18,,10.0,,,76,Eg5,
122,14 Her,b,,1754.0,3.2,,90.7,1.0,,0.3872,0.0094,,19.6,1.7,,11368.4,,5.9,11530.0,,4.9,,,4.98,0.41,,2.85,0.16,,5.6,1.4,,49,Bu6 , Nf4,C
123,HD 147513,b,,528.4,6.3,,29.3,1.8,,0.26,0.05,,282.0,9.0,,11123.0,,20.0,,,,,,1.18,0.19,,1.31,0.077,,5.7,,,30,My4,
124,HD 149026,b,,2.87598,1.4E-4,,43.2,2.3,,0.0,,c,0.0,,c,13526.36846,,8.8E-4,13527.08746,i,8.8E-4,,,0.36,0.035,,0.0432,0.0025,,5.7,2.0,,16,Cb6 , St5,C
125,HD 150706,b,,264.9,5.8,,33.0,4.0,,0.38,0.12,,178.0,32.0,,11580.0,,26.0,,,,,,0.95,0.22,,0.802,0.048,,6.8,,,20,U3b , My3,
126,HD 149143,b,,4.07,0.7,,149.6,3.0,,0.0,,c,0.0,,c,13483.9,,1.2,,,,10.0,2.0,1.33,0.11,,0.0531,0.0081,,4.7,1.1,,17,Fi6 , Da6,
127,HD 154857,b,,398.5,9.0,,52.0,5.0,,0.51,0.06,,50.0,11.0,,11963.0,,10.0,,,,-14.3,3.5,1.85,0.16,,1.132,0.069,,3.2,0.87,,18,MC4,
128,mu Ara,b,,630.0,6.2,,37.4,1.6,,0.271,0.04,,259.8,7.4,,10881.0,,28.0,10596.0,,18.0,,,1.67,0.17,,1.51,0.088,,4.7,1.1,,108,Bu6 , Sn4b,C
129,mu Ara,c,,2490.0,100.0,,18.1,1.1,,0.463,0.053,,183.8,7.9,,11030.0,,110.0,10750.0,,110.0,,,1.18,0.12,,3.78,0.25,,4.7,1.1,,108,Bu6 , Sn4b,C
130,mu Ara,d,,9.55,0.03,,4.1,0.2,,0.0,0.02,,4.0,2.0,,13168.94,,0.05,,,,,,0.0471,,,0.0924,0.0053,,0.9,,,24,Sn4b,C
131,HD 162020,b,,8.428198,5.6E-5,,1813.0,4.0,,0.277,0.002,,28.4,0.23,,11990.677,,0.005,,,,,,15.0,2.1,,0.0751,0.0043,,8.1,1.2,,30,U2,
132,HD 164922,b,,1155.0,23.0,,7.3,1.2,,0.05,0.14,b,195.0,,b,11100.0,,280.0,10780.0,,68.0,,,0.36,0.046,,2.11,0.13,,3.7,0.6,,64,Bu6,C
133,HD 168443,b,,58.11055,8.6E-4,,475.8,1.6,,0.5296,0.0032,,172.68,0.94,,10047.454,,0.034,10042.919,,0.043,,,8.01,0.65,,0.3,0.017,,5.9,1.3,,106,Bu6 , U2,C
134,HD 168443,c,,1764.3,2.4,,297.4,1.2,,0.2175,0.0015,,64.37,0.21,,10255.8,,4.6,10335.6,,2.7,,,18.1,1.5,,2.92,0.17,,5.9,1.3,,106,Bu6 , U2,C
135,HD 168746,b,,6.404,0.0014,,28.6,1.7,,0.107,0.08,b,17.0,,b,11757.83,,0.47,11758.92,,0.19,,,0.248,0.023,,0.0659,0.0038,,3.9,0.79,,16,Bu6 , Pp2,C
136,HD 169830,b,,225.62,0.22,,80.7,0.9,,0.31,0.01,,148.0,2.0,,11923.0,,1.0,,,,,,2.9,1.3,,0.817,0.047,,8.9,,,112,My4,
137,HD 169830,c,,2100.0,260.0,,54.3,3.6,,0.33,0.02,,252.0,8.0,,12516.0,,25.0,,,,,,4.1,1.6,,3.62,0.43,,8.9,,,112,My4,
138,TrES-1,,,3.030065,8.0E-6,,115.2,6.2,,0.0,,cj,,,,,,,13186.806,i,2.0E-4,,,0.759,,,0.0394,0.0023,,14.0,,,8,As4,
139,HD 177830,b,,410.1,2.2,,32.64,0.98,,0.096,0.048,b,189.0,,b,10254.0,,42.0,10154.4,,9.1,,,1.53,0.13,,1.227,0.071,,6.2,1.0,,54,Bu6,C
140,HD 178911 B,b,,71.511,0.011,,346.9,4.2,,0.139,0.014,,172.3,5.0,,11378.23,,0.83,11364.97,,0.33,,,7.35,0.6,,0.345,0.02,,7.7,1.7,,14,Bu6 , Z2,C
141,HD 179949,b,,3.092514,3.2E-5,,112.6,1.8,,0.022,0.015,b,192.0,,b,11002.36,,0.44,11001.51,,0.02,,,0.916,0.076,,0.0443,0.0026,,12.0,1.1,,88,Bu6,C
142,HD 183263,b,,635.4,3.9,,87.3,3.2,,0.363,0.021,,231.5,5.7,,12103.0,,7.5,11910.0,,11.0,-25.5,1.6,3.82,0.34,,1.525,0.088,,8.4,1.8,,34,Bu6,C
143,16 Cyg B,b,,798.5,1.0,,50.5,1.6,,0.681,0.017,,85.8,2.4,,6549.1,,6.6,6546.3,,6.4,,,1.68,0.15,,1.681,0.097,,7.3,0.99,,95,Bu6,C
144,HD 187123,b,,3.096598,2.7E-5,,70.0,1.0,,0.023,0.015,b,17.0,,b,10806.75,,0.39,10807.363,,0.016,-7.33,0.29,0.528,0.044,,0.0426,0.0025,,5.5,1.2,,65,Bu6 , Nf4,C
145,HD 187085,b,,1147.0,4.0,,26.0,10.0,,0.75,0.1,,93.0,20.0,,10910.0,,110.0,,,,1.3,0.1,0.98,0.43,,2.26,0.13,,6.0,1.2,,33,Jo6,
146,HD 188015,b,,461.2,1.7,,37.6,1.2,,0.137,0.026,,222.0,10.0,,11787.0,,17.0,11634.4,,5.7,2.64,0.54,1.5,0.13,,1.203,0.07,,4.3,0.93,,44,Bu6,C
147,HD 189733,b,,2.219,5.0E-4,,205.0,6.0,,0.0,,c,,,,,,,13629.389,,4.0E-4,,,1.15,0.17,,0.0312,0.0018,,15.0,,,,Bc5,
148,HD 190228,b,,1146.0,16.0,,91.0,5.0,,0.499,0.03,,100.7,3.0,,11236.0,,25.0,,,,,,4.49,0.7,,2.25,0.13,,8.0,0.99,,51,Pr3,
149,HD 190360,b,,2891.0,85.0,,23.5,0.5,,0.36,0.03,,12.4,9.3,,10630.0,,100.0,,,,,,1.55,0.14,,3.99,0.25,,3.5,0.88,,87,Vo5 , Nf3,
150,HD 190360,c,,17.1,0.015,,4.6,1.1,,0.01,0.1,,154.0,32.0,,10000.07,,0.9,,,,,,0.0587,0.0078,,0.1303,0.0075,,3.5,0.88,,87,Vo5 , Nf3,
151,HD 192263,b,,24.3556,0.0046,,51.9,2.6,,0.055,0.039,b,200.0,,b,10994.3,,3.9,10987.22,,0.39,,,0.641,0.061,,0.1532,0.0088,,7.7,0.93,,31,Bu6 , Sn3,C
152,HD 195019,b,,18.20132,3.9E-4,,271.5,1.5,,0.0138,0.0044,,231.0,20.0,,11015.5,,1.1,11008.449,,0.04,,,3.69,0.3,,0.1388,0.008,,16.0,1.5,,154,Bu6,C
153,HD 196050,b,,1378.0,21.0,,49.7,2.0,,0.228,0.038,,187.0,12.0,,10843.0,,56.0,10573.0,,42.0,,,2.9,0.26,,2.54,0.15,,8.4,1.3,,44,Bu6 , My4,C
154,HD 202206,b,,255.87,0.06,k,564.8,1.3,k,0.435,0.001,k,161.18,0.3,k,,k,,,k,,,,17.3,2.4,,0.823,0.048,,9.6,1.5,,,Cr5,
155,HD 202206,c,,1383.0,18.0,k,42.0,1.5,k,0.267,0.021,k,79.0,6.7,k,,k,,,k,,,,2.4,0.36,,2.52,0.15,,9.6,1.5,,,Cr5,
156,HD 208487,b,,130.08,0.51,,19.7,3.6,,0.24,0.16,b,113.0,,b,10999.0,,15.0,10994.0,,10.0,,,0.52,0.082,,0.524,0.03,,8.2,1.0,,35,Bu6,C
157,HD 209458,b,,3.52474554,1.8E-7,,84.26,0.98,,0.0,,cl,0.0,,c,12853.94426,,1.4E-4,12854.82545,i,1.4E-4,,,0.689,0.057,,0.0474,0.0027,,5.0,1.4,,64,W4  , Nf4,C
158,HD 210277,b,,442.19,0.5,,38.94,0.75,,0.476,0.017,,119.1,2.8,,10104.3,,2.6,10092.8,,2.1,,,1.29,0.11,,1.138,0.066,,3.8,0.9,,69,Bu6 , Nf1b,C
159,HD 212301,b,,2.24572,2.8E-4,,59.5,0.7,,0.0,,c,0.0,,c,13549.195,,0.004,,,,,,0.396,,,0.0341,0.002,,6.7,,,23,LC5,
160,HD 213240,b,,882.7,7.6,,96.6,2.0,,0.421,0.015,,201.0,3.2,,11499.0,,12.0,11347.7,,9.4,,,4.72,0.4,,1.92,0.11,,5.0,0.75,,30,Bu6 , Sn1,C
161,GJ 876,b,,60.94,0.013,m,212.6,0.76,m,0.0249,0.0026,m,175.7,6.0,m,,m,,,m,,,,1.93,0.27,,0.208,0.012,,4.6,1.2,,155,R5  , De8,
162,GJ 876,c,,30.34,0.013,m,88.36,0.72,m,0.2243,0.0013,m,198.3,0.9,m,,m,,,m,,,,0.619,0.088,,0.1303,0.0075,,4.6,1.2,,155,R5  , De8,
163,GJ 876,d,,1.93776,7.0E-5,m,6.46,0.59,m,0.0,,cm,,,m,,m,,,m,,,,0.0185,0.0031,,0.0208,0.0012,,4.6,1.2,,155,R5  , De8,
164,tau01 Gru,b,,1311.0,49.0,,19.6,1.5,,0.07,0.078,b,100.0,,b,10870.0,,210.0,10837.0,,53.0,,,1.26,0.13,,2.56,0.17,,6.3,1.1,,58,Bu6,C
165,rho Ind,b,,1353.0,25.0,,39.0,1.0,,0.319,0.025,,67.7,8.4,,10605.0,,29.0,10647.0,,24.0,,,2.26,0.19,,2.54,0.15,,5.3,1.0,,39,Bu6 , My4,C
166,HD 216770,b,,118.45,0.55,,30.9,1.9,,0.37,0.06,,281.0,10.0,,12672.0,,3.5,,,,,,0.65,0.11,,0.456,0.026,,7.8,,,16,My4,
167,51 Peg,b,,4.230785,3.6E-5,,55.94,0.69,,0.013,0.012,b,58.0,,b,10001.51,,0.61,10001.881,,0.018,-1.64,0.16,0.472,0.039,,0.0527,0.003,,7.0,0.88,,256,Bu6 , Nf4,C
168,HD 217107,b,,7.1269,2.2E-4,,140.7,2.6,,0.13,0.02,,21.1,7.6,,-1.58,,0.17,,,,,,1.41,0.12,,0.0748,0.0043,,5.1,1.1,,63,Vo5 , Nf1b,
169,HD 217107,c,,3200.0,1000.0,,34.0,20.0,,0.55,0.2,,164.0,30.0,,11030.0,,300.0,,,,,,2.21,0.66,,4.3,1.2,,5.1,1.1,,63,Vo5 , Nf1b,
170,gamma Cep,b,,905.0,3.1,,27.5,1.5,,0.12,0.05,,50.0,26.0,,-878.0,,67.0,,,,,,1.77,0.28,,2.14,0.12,,15.0,1.2,,111,H3,
171,HD 222582,b,,572.38,0.61,,276.3,7.0,,0.725,0.012,,319.01,0.87,,10706.7,,2.8,10199.8,,3.8,,,7.75,0.65,,1.347,0.078,,3.9,0.83,,37,Bu6,C
172,HD 224693,b,,26.73,0.02,,40.2,2.0,,0.05,0.03,,6.0,200.0,,13193.9,,3.0,,,,,,0.71,,,0.192,,,4.07,0.85,,24,Jh6,
